File,Table ID,Number of References,Number of Footnotes
2403.19709.json,S4.T1,1,0
2403.19709.json,S4.T2,1,0
2403.19709.json,S4.T3,1,0
2403.19709.json,S4.T4,1,0
2403.19709.json,S4.T5,1,0
2404.16905.json,S3.T1,1,0
2404.16905.json,S3.T2,0,0
2404.16905.json,S5.T3,0,0
2404.18739.json,S1.T1,3,0
2404.18739.json,S4.T2,1,0
2404.18739.json,S4.T3,1,0
2404.18739.json,S4.T4,1,0
2404.18739.json,S4.T5,1,0
2405.13001.json,S1.T1,1,0
2405.13001.json,S3.T2,1,0
2405.13001.json,S4.T3,0,0
2405.13001.json,S5.T4,1,0
2406.07914.json,S5.T1,2,0
2406.07914.json,S5.T2,1,0
2406.07914.json,S5.T3,3,0
2407.02052.json,S1.T1,2,0
2407.02052.json,S2.T2,1,0
2407.02052.json,S2.T3,1,0
2407.02052.json,S2.T4,1,0
2408.11849.json,S4.T1,1,0
2408.11849.json,S4.T2,1,0
2408.11849.json,S5.T3,1,0
2408.11849.json,S5.T5,0,0
2408.11849.json,A1.T6,1,0
2408.11849.json,A2.T7,0,0
2409.02041.json,S1.T1,1,0
2409.02041.json,S2.T2,1,0
2409.02041.json,S2.T3,1,0
2409.09785.json,S4.T1,0,0
2409.09785.json,S4.T2,0,0
2409.09785.json,S4.T3,1,0
2409.09785.json,S4.T4,1,0
2409.11252.json,S3.T1,2,0
2409.11252.json,S3.T2,1,0
2409.11252.json,S5.T3,1,0
